pathway description	SRR17644439
12DICHLORETHDEG-PWY	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
14DICHLORBENZDEG-PWY	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
1CMET2-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
2AMINOBENZDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
2ASDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
2OXOBUTYRATECAT-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
2PHENDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
4AMINOBUTMETAB-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
4TOLCARBDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
6-HYDROXYCINEOLE-DEGRADATION-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
ACETATEUTIL-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
ACETOACETATE-DEG-PWY	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
AEROBACTINSYN-PWY	Biosynthesis; Secondary Metabolite Biosynthesis
ALACAT2-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ALADEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ALANINE-SYN2-PWY	Biosynthesis; Amino Acid Biosynthesis
ALANINE-VALINESYN-PWY	Biosynthesis; Amino Acid Biosynthesis
ALKANEMONOX-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
ALL-CHORISMATE-PWY	Superpathways; superpathway of chorismate metabolism
AMMASSIM-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
AMMOXID-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
ANAEROFRUCAT-PWY	Generation of Precursor Metabolite and Energy; Fermentation
